study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,mean_change_arm1,mean_change_arm2,sd_change_arm1,sd_change_arm2,n_change_arm1,n_change_arm2,dich_paper,event_arm1,event_arm2,totaln_arm1,totaln_arm2,precalc_g,precalc_g_se,precalc_log_rr,precalc_log_rr_se,other_stat,bl_mean_arm1,bl_sd_arm1,bl_n_arm1,bl_mean_arm2,bl_sd_arm2,bl_n_arm2,rand_arm1,rand_arm2,attr_arm1,attr_arm2,ROB_mod_arm_1,ROB_mod_arm_2,year,time_weeks,time_weeks_needs_cleaning,time,comorbid_mental,format,format_details,n_sessions_arm1,country,age_group,mean_age,percent_women,recruitment,diagnosis,target_group,rob,.id,.g,.g_se,notes
"Mulkens, 2001",other psy,wlc,,,msd,BTS-Q,self-report,42.64,20.28,12,56.44,20.18,14,,,,,,,,,,,,,,,,,60.74,12.78,12,63.11,19.18,14,14,17,2,3,0.8571428571,0.8235294118,2001,,6,post,n,ind,ind,6,eu,adul,NR,0.774,com,sad,adul,,Mulkens_2001_msd_BTS-Q_post_NA_self-report_otherpsy_wlc_NA_NA,0.6607475575,0.4046162404,
"Newman, 1994",Exposure,wlc,,,msd,SADS,self-report,10.1,8.5,14,13,9.1,13,,,,,,,,,,,,,,,,,11.4,8.6,14,12.6,9.3,13,18,18,2,1,0.8888888889,0.9444444444,1994,,10,post,n,grp,grp,8,us,adul,46.57,0.5,com,sad,adul,,Newman_1994_msd_SADS_post_NA_self-report_Exposure_wlc_NA_NA,0.3198095909,0.3877704421,
"Newman, 1994",Exposure,wlc,,,msd,PRCS,self-report,12.5,7.84,16,20.44,7.93,16,,,,,,,,,,,,,,,,,21.75,4.36,16,22.13,4.57,16,18,18,2,1,0.8888888889,0.9444444444,1994,,10,post,n,grp,grp,8,us,adul,46.57,0.5,com,sad,adul,,Newman_1994_msd_PRCS_post_NA_self-report_Exposure_wlc_NA_NA,0.9815733534,0.375290849,
"Newman, 1994",Exposure,wlc,,,msd,STAI state,self-report,36.2,9.5,16,42,12.7,14,,,,,,,,,,,,,,,,,42.9,12.4,16,45.8,13.5,14,18,18,2,1,0.8888888889,0.9444444444,1994,,10,post,n,grp,grp,8,us,adul,46.57,0.5,com,sad,adul,,Newman_1994_msd_STAIstate_post_NA_self-report_Exposure_wlc_NA_NA,0.5083531411,0.3721266234,
"Newman, 1994",Exposure,wlc,,,msd,STAI trait,self-report,36.2,7.9,14,42.8,9.6,13,,,,,,,,,,,,,,,,,39.1,9.5,14,41.4,8.8,13,18,18,2,1,0.8888888889,0.9444444444,1994,,10,post,n,grp,grp,8,us,adul,46.57,0.5,com,sad,adul,,Newman_1994_msd_STAItrait_post_NA_self-report_Exposure_wlc_NA_NA,0.7308203048,0.3985852308,
"Newman, 1994",Exposure,wlc,,,msd,SPAI,self-report,55.94,27.44,15,77.56,31.45,12,,,,,,,,,,,,,,,,,69.51,25.81,15,74.52,28.32,12,18,18,2,1,0.8888888889,0.9444444444,1994,,10,post,n,grp,grp,8,us,adul,46.57,0.5,com,sad,adul,,Newman_1994_msd_SPAI_post_NA_self-report_Exposure_wlc_NA_NA,0.7162044537,0.4001275039,
"Nilsson, 2012",other psy,other ctr,,,msd,FNE,self-report,13.43,10.05,7,22.71,4.79,7,,,,,,,,,,,,,,,,,22.71,6.02,7,22.14,5.01,7,7,7,0,0,1,1,2012,,1,post,n,ind,ind,1,eu,adul,33.5,0.43,com,sad,adul,,Nilsson_2012_msd_FNE_post_NA_self-report_otherpsy_otherctr_NA_NA,1.103571519,0.5790881033,
"Nilsson, 2012",other psy,other ctr,,,msd,SIAS,self-report,27.14,19.23,7,37.14,11.51,7,,,,,,,,,,,,,,,,,36.71,21.96,7,36.86,12.03,7,7,7,0,0,1,1,2012,,1,post,n,ind,ind,1,eu,adul,33.5,0.43,com,sad,adul,,Nilsson_2012_msd_SIAS_post_NA_self-report_otherpsy_otherctr_NA_NA,0.5907447897,0.5476635382,
"Olivares-Olivares, 2016",cbt,wlc,cbt,wlc,msd,PRCS,self-report,1.7,1.51,30,8.07,1.48,30,,,,,,,,,,,,,,,,,7.07,2.3,30,7.53,1.7,30,30,30,0,NR,1,#VALUE!,2016,,12,post,n,grp,grp,12,eu,yadul,19.9,0.626,com,sad,stud,,Olivares-Olivares_2016_msd_PRCS_post_NA_self-report_cbt_wlc_cbt_wlc,4.205321927,0.466843853,
"Olivares-Olivares, 2016",other psy,wlc,other psy,wlc,msd,PRCS,self-report,2,1.79,31,8.07,1.48,30,,,,,,,,,,,,,,,,,8.71,1.9,31,7.53,1.7,30,31,30,0,NR,1,#VALUE!,2016,,12,post,n,oth,combined ind and grp,26,eu,yadul,19.9,0.626,com,sad,stud,,Olivares-Olivares_2016_msd_PRCS_post_NA_self-report_otherpsy_wlc_otherpsy_wlc,3.642987684,0.4209566947,
"Oosterbaan, 2001",cbt,other ctr,,,msd,ADS-avoid,cr,15.1,8.9,24,19.2,8.6,19,,,,,,,,,,,,,,,,,28.9,6.6,24,29,6.5,19,28,27,4,8,0.8571428571,0.7037037037,2001,,15,post,n,ind,ind,12,eu,adul,37,0.42,clin,sad,adul,,Oosterbaan_2001_msd_ADS-avoid_post_NA_cr_cbt_otherctr_NA_NA,0.4589217092,0.3111910754,
"Oosterbaan, 2001",cbt,other ctr,,,msd,ADS-anx,cr,15.9,6.6,24,18.4,7.9,19,,,,,,,,,,,,,,,,,29.1,4.5,24,29.8,6.3,19,28,27,4,8,0.8571428571,0.7037037037,2001,,15,post,n,ind,ind,12,eu,adul,37,0.42,clin,sad,adul,,Oosterbaan_2001_msd_ADS-anx_post_NA_cr_cbt_otherctr_NA_NA,0.3408460623,0.3093545908,
